[2024-10-27 17:12:44,254] 28 root - INFO - LLM model for text generation created.
[2024-10-27 17:12:52,374] 21 root - INFO - Avatar system initiated.
[2024-10-27 17:12:53,078] 413 huggingface_hub._login - WARNING - Note: Environment variable`HF_TOKEN` is set and is the current active token independently from the token you've just configured.
[2024-10-27 17:12:53,718] 31 root - INFO - Text response generated.
[2024-10-27 17:12:55,142] 26 root - INFO - Text response generated.
[2024-10-27 17:12:55,435] 30 root - INFO - Sentiment of response generated.
[2024-10-27 17:12:55,436] 30 root - INFO - Response sentiment received.
[2024-10-27 17:13:03,213] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:13:03,214] 34 root - INFO - Generated response saved as audio mp3 format.
[2024-10-27 17:13:03,215] 79 root - INFO - Generated response stored in response.txt file in artifacts folder.
[2024-10-27 17:13:03,215] 85 root - INFO - Stored text loaded.
[2024-10-27 17:13:10,968] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:13:12,162] 24 root - INFO - Generated audio file loaded
[2024-10-27 17:13:30,099] 33 root - INFO - Created audio file removed for entry of new file.
[2024-10-27 17:13:49,634] 413 huggingface_hub._login - WARNING - Note: Environment variable`HF_TOKEN` is set and is the current active token independently from the token you've just configured.
[2024-10-27 17:13:49,652] 31 root - INFO - Text response generated.
[2024-10-27 17:13:50,483] 26 root - INFO - Text response generated.
[2024-10-27 17:13:50,578] 30 root - INFO - Sentiment of response generated.
[2024-10-27 17:13:50,580] 30 root - INFO - Response sentiment received.
[2024-10-27 17:13:51,561] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:13:51,561] 34 root - INFO - Generated response saved as audio mp3 format.
[2024-10-27 17:13:51,562] 79 root - INFO - Generated response stored in response.txt file in artifacts folder.
[2024-10-27 17:13:51,563] 85 root - INFO - Stored text loaded.
[2024-10-27 17:13:52,739] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:13:52,740] 24 root - INFO - Generated audio file loaded
[2024-10-27 17:13:56,409] 33 root - INFO - Created audio file removed for entry of new file.
[2024-10-27 17:14:21,524] 413 huggingface_hub._login - WARNING - Note: Environment variable`HF_TOKEN` is set and is the current active token independently from the token you've just configured.
[2024-10-27 17:14:21,528] 31 root - INFO - Text response generated.
[2024-10-27 17:14:23,026] 26 root - INFO - Text response generated.
[2024-10-27 17:14:23,150] 30 root - INFO - Sentiment of response generated.
[2024-10-27 17:14:23,151] 30 root - INFO - Response sentiment received.
[2024-10-27 17:14:27,654] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:14:27,654] 34 root - INFO - Generated response saved as audio mp3 format.
[2024-10-27 17:14:27,656] 79 root - INFO - Generated response stored in response.txt file in artifacts folder.
[2024-10-27 17:14:27,657] 85 root - INFO - Stored text loaded.
[2024-10-27 17:14:35,641] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:14:35,642] 24 root - INFO - Generated audio file loaded
[2024-10-27 17:14:57,825] 33 root - INFO - Created audio file removed for entry of new file.
